result,radiant_win,duration,start_time,game_mode,localized_name,kills,deaths,assists,primary_attr,attack_type,carry,jungler,pusher,nuker,disabler,initiator,durable,support,legs
0,0,3157,1660367317,22,Puck,10,9,16,int,Ranged,0,0,0,1,1,1,0,0,2
0,0,1920,1660372189,22,Puck,4,7,11,int,Ranged,0,0,0,1,1,1,0,0,2
1,1,2973,1660375578,22,Puck,10,5,18,int,Ranged,0,0,0,1,1,1,0,0,2
1,1,3105,1660434283,22,Puck,7,6,19,int,Ranged,0,0,0,1,1,1,0,0,2
1,0,2127,1660791804,22,Zeus,2,7,22,int,Ranged,1,0,0,1,0,0,0,0,2
0,1,2216,1660796708,22,Snapfire,4,8,17,all,Ranged,0,0,0,1,1,0,0,1,2
1,1,2084,1660799398,22,Snapfire,4,3,13,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,3111,1660802107,22,Zeus,8,9,30,int,Ranged,1,0,0,1,0,0,0,0,2
1,1,2063,1660860538,22,Zeus,4,6,10,int,Ranged,1,0,0,1,0,0,0,0,2
0,1,2618,1661229613,22,Zeus,9,10,13,int,Ranged,1,0,0,1,0,0,0,0,2
0,1,2351,1661232744,22,Timbersaw,6,8,10,all,Melee,0,0,0,1,0,0,1,0,2
0,1,2388,1661289705,22,Juggernaut,5,5,8,agi,Melee,1,0,1,0,0,0,0,0,2
0,1,3097,1661660003,22,Omniknight,1,8,24,str,Melee,0,0,0,1,0,0,1,1,2
0,1,2010,1661663559,22,Warlock,1,12,6,int,Ranged,0,0,0,0,1,1,0,1,2
0,0,2710,1661666007,22,Legion Commander,5,9,18,str,Melee,1,0,0,1,1,1,1,0,2
0,1,3270,1661669192,22,Slardar,6,11,10,str,Melee,1,0,0,0,1,1,1,0,0
0,1,2457,1662009728,22,Dazzle,4,10,19,all,Ranged,0,0,0,1,1,0,0,1,2
0,1,1887,1662014013,22,Primal Beast,4,11,7,str,Melee,0,0,0,0,1,1,1,0,2
0,1,3718,1662085333,22,Crystal Maiden,11,9,19,int,Ranged,0,0,0,1,1,0,0,1,2
1,0,2532,1662246280,22,Chaos Knight,18,3,11,str,Melee,1,0,1,0,1,1,1,0,2
0,0,2235,1662404860,22,Crystal Maiden,0,11,10,int,Ranged,0,0,0,1,1,0,0,1,2
0,1,1500,1662407541,22,Dazzle,3,8,1,all,Ranged,0,0,0,1,1,0,0,1,2
1,0,2532,1662409570,22,Mars,7,4,19,str,Melee,1,0,0,0,1,1,1,0,2
0,1,2170,1662424171,22,Phantom Assassin,4,7,6,agi,Melee,1,0,0,0,0,0,0,0,2
1,1,3310,1662437917,22,Ogre Magi,1,12,28,str,Melee,0,0,0,1,1,1,1,1,2
0,1,2298,1662441655,22,Omniknight,0,7,9,str,Melee,0,0,0,1,0,0,1,1,2
0,1,1667,1662522264,22,Slardar,3,4,2,str,Melee,1,0,0,0,1,1,1,0,0
